ENTITY_HASH_ID,L2_BALANCE,L1_VAULT_ANCHOR,ROLE
667a74d2d46565a3593d4f2b54f87e1829365cab9a04c302a4613e10fa8c8d8f,10000000000000,TSGgy9ezzkTXBjNpBjzcECzhiss23C7Q6m,FOUNDER
410f2accc9b8f1b0cac3c09ea5b7e68cdb75452b7ff4d594da41a471ca039df0,10000000000000,TSGgy9ezzkTXBjNpBjzcECzhiss23C7Q6m,AI_SYSTEM
bb03d2b312c128c77d8ec68134c456cd13fc15f79974af834684c4f9841ac7d1,363636,TSGgy9ezzkTXBjNpBjzcECzhiss23C7Q6m,CITIZEN
e2fce6eccb82d6924007cf97e1d3648b2298ae344db088ea0ed1d5268fccad32,363636,TSGgy9ezzkTXBjNpBjzcECzhiss23C7Q6m,CITIZEN
5f0fa3d0dab454fd71e58e380ce175ad9b16708400334e172e0f77a3588d80c4,363636,TSGgy9ezzkTXBjNpBjzcECzhiss23C7Q6m,CITIZEN
19f8d5a539fc4963bdfb40e85901449d14ea48659d2aa23789b1ed5d371325a1,363636,TSGgy9ezzkTXBjNpBjzcECzhiss23C7Q6m,CITIZEN
27db98b077f5c94205c06df628926df9cde40d5ced2e97234acf59af2d742c4c,363636,TSGgy9ezzkTXBjNpBjzcECzhiss23C7Q6m,CITIZEN
f66229ad23b56b5b8908f9cf3e051280153eebc43f66f34b1fc3dc7726589534,363636,TSGgy9ezzkTXBjNpBjzcECzhiss23C7Q6m,CITIZEN
9206fdb7e0c63e49b2d81bba8b148b7dc20dab1644717fbc1a133710f122c97d,363636,TSGgy9ezzkTXBjNpBjzcECzhiss23C7Q6m,CITIZEN
908d74237f849873c736f273b9486f1000649f4d17b51ca8ca0759930ba32f70,363636,TSGgy9ezzkTXBjNpBjzcECzhiss23C7Q6m,CITIZEN
72b5047049554580f4ca981cc790de1f7332cab69c48c6eaaa8a2a046695bb44,363636,TSGgy9ezzkTXBjNpBjzcECzhiss23C7Q6m,CITIZEN
